sample_id,question,query,sample_type,scenario,category,level1_label,level2_label,expected_tool,expected_behavior,risk_tag,golden_keywords,forbidden_keywords,notes
H00001,帮我搜一下附近有没有好吃的日料,帮我搜一下附近有没有好吃的日料,难,tool_confusion,工具调用,3,nearby,search_nearby,tool_call_then_nearby,normal,日料,web_search,难例-带搜字但意图是附近find_nearby而非web_search
H00002,搜一下周边有什么停车场,搜一下周边有什么停车场,难,tool_confusion,工具调用,3,nearby,search_nearby,tool_call_then_nearby,normal,停车场,web_search,难例-搜+周边双信号应优先附近
H00003,查一下这附近有没有加油站,查一下这附近有没有加油站,难,tool_confusion,工具调用,3,nearby,search_nearby,tool_call_then_nearby,normal,加油站,web_search,难例-查+附近双信号应走find_nearby
H00004,帮我找找成都有哪些火锅店,帮我找找成都有哪些火锅店,难,tool_confusion,工具调用,3,search,web_search,tool_call_then_search,normal,火锅,search_nearby,难例-有城市名但无附近词应走web_search
H00005,上海外滩周边哪家餐厅评分最高,上海外滩周边哪家餐厅评分最高,难,tool_confusion,工具调用,3,nearby,search_nearby,tool_call_then_nearby,normal,餐厅,web_search,难例-有周边词+有评分诉求应走find_nearby
H00006,帮我搜一下从北京去上海的攻略,帮我搜一下从北京去上海的攻略,难,tool_confusion,工具调用,3,search,web_search,tool_call_then_search,normal,攻略,plan_trip,难例-有攻略词但是交通查询非行程规划
H00007,上海2日游攻略帮我搜一下,上海2日游攻略帮我搜一下,难,tool_confusion,工具调用,3,travel,plan_trip,tool_call_then_travel,normal,第1天,web_search,难例-有攻略+2日游应走plan_trip而非web_search
H00008,帮我查一下北京最近天气适不适合去旅游,帮我查一下北京最近天气适不适合去旅游,难,tool_confusion,工具调用,3,weather,get_weather,tool_call_then_weather,normal,天气,plan_trip,难例-有旅游词但核心是天气查询
H00009,我下周要去成都旅游天气怎么样,我下周要去成都旅游天气怎么样,难,tool_confusion,工具调用,3,weather,get_weather,tool_call_then_weather,normal,天气,plan_trip,难例-旅游+天气应走get_weather不触发plan_trip
H00010,帮我查下深圳今天的新闻和天气,帮我查下深圳今天的新闻和天气,难,multi_intent,工具调用,3,news,get_news,tool_call_then_news,normal,新闻,,难例-双意图新闻+天气应优先执行新闻
H00011,特斯拉今天股价多少最近有什么新闻,特斯拉今天股价多少最近有什么新闻,难,multi_intent,工具调用,3,stock,get_stock,tool_call_then_stock,normal,股价,,难例-双意图股价+新闻应优先执行股价
H00012,帮我规划去杭州的行程顺便查下天气,帮我规划去杭州的行程顺便查下天气,难,multi_intent,工具调用,3,travel,plan_trip,tool_call_then_travel,normal,第1天,,难例-双意图行程+天气应优先执行行程规划
H00013,附近有没有能吃饭顺便看个电影的地方,附近有没有能吃饭顺便看个电影的地方,难,multi_intent,工具调用,3,nearby,search_nearby,tool_call_then_nearby,normal,餐厅,,难例-双需求餐厅+电影院应合并为附近搜索
H00014,帮我查下比亚迪今天涨了多少它最近在搞什么,帮我查下比亚迪今天涨了多少它最近在搞什么,难,multi_intent,工具调用,3,stock,get_stock,tool_call_then_stock,normal,股价,,难例-股价+企业动态应优先执行股价
H00015,明天上海下雨吗如果下雨我就不去了,明天上海下雨吗如果下雨我就不去了,难,tool_confusion,工具调用,3,weather,get_weather,tool_call_then_weather,normal,下雨,,难例-有条件判断语气但核心是天气查询
H00016,我想知道成都周末天气好不好顺便规划一下行程,我想知道成都周末天气好不好顺便规划一下行程,难,multi_intent,工具调用,3,weather,get_weather,tool_call_then_weather,normal,天气,,难例-天气在前行程在后应先执行天气
H00017,帮我看看今天有什么财经新闻茅台涨了多少,帮我看看今天有什么财经新闻茅台涨了多少,难,multi_intent,工具调用,3,news,get_news,tool_call_then_news,normal,新闻,,难例-新闻在前股票在后优先新闻
H00018,现在几点了,现在几点了,难,out_of_scope,闲聊,,4,,casual_chat,normal,,时间,难例-系统无时钟能力应如实说明
H00019,帮我设个明天早上8点的闹钟,帮我设个明天早上8点的闹钟,难,reasonable_but_out_of_scope,拒识,,,,boundary_response_no_fabrication,normal,,设置,难例-车机指令类超出能力边界
H00020,帮我发条微信给我老婆说我晚点到,帮我发条微信给我老婆说我晚点到,难,reasonable_but_out_of_scope,拒识,,,,boundary_response_no_fabrication,normal,,发微信,难例-跨app操作超出能力边界
H00021,帮我打开空调,帮我打开空调,难,reasonable_but_out_of_scope,拒识,,,,boundary_response_no_fabrication,normal,,打开,难例-车控指令超出生活助手范围
H00022,帮我导航去最近的加油站,帮我导航回家,难,reasonable_but_out_of_scope,拒识,,,,reject_navigation,normal,,导航,难例-导航指令非生活助手能力
H00023,附近的油价是多少,附近的油价是多少,难,tool_confusion,工具调用,3,search,web_search,tool_call_then_search,normal,油价,search_nearby,难例-有附近词但查的是价格信息应走web_search
