Query,Sentence,Status,Reason,Similarity,SimilarTo
嘿，今天过得咋样,麻烦问一下今天状态如何,passed,passed,,
堵车的时候听啥歌能解闷儿,帮我找些堵车时能解闷的歌,passed,passed,,
开车跑长途，路上带啥吃的顶饿又方便,帮我查下长途开车吃啥顶饿的食品,passed,passed,,
这鬼天气老是下雨，车都脏得没法看了，你说咋办,这破天气一直下雨，车脏得都没法见人了，你快想想办法,passed,passed,,
有没有那种做瑜伽时候听的有声书推荐,请给我推荐一些适合冥想瑜伽时听的有声书,passed,passed,,
我想开车去自驾游，哪个地方的风景好又不堵车,帮我找个风景好又不堵车的自驾游地点,passed,passed,,
给我讲个开车相关的笑话乐呵乐呵,麻烦给我来个跟开车有关的笑话,passed,passed,,
怎么才能高效的工作？,麻烦告诉我高效工作的方法,passed,passed,,
来个猜车标的谜语玩玩,给我来个猜车标谜语乐一乐,passed,passed,,
我们来玩成语接龙吧，我先开始，为所欲为,请开启成语接龙游戏，我先说，四面楚歌,passed,passed,,
我发现路上好多车贴都特别逗，你觉得不,我碰到好多车尾的车贴都特别有意思，你怎么看,passed,passed,,
晚上我不敢一个人开车，给我打打气呗,晚上我一个人开车有点害怕，你给我打打气吧,passed,passed,,
我一开高速就紧张，有啥好办法不,我一上高速就紧张得不行，快给我想个缓解的办法,passed,passed,,
你知道汽车史上有啥奇葩的发明不,麻烦给我说说汽车史上有啥奇特的发明,passed,passed,,
现在汽车新技术越来越多，有哪些是实用的,帮我查一下汽车有哪些实用的新技术,passed,passed,,
介绍下明朝那些事儿,请介绍下《万历十五年》,passed,passed,,
不同国家的汽车文化有啥差异,麻烦给我讲讲不同国家汽车文化的差异,passed,passed,,
柜子里面为什么会生霉？,麻烦告诉我柜子生霉是啥原因,passed,passed,,
来南京旅游有什么自然风光的景点？,帮我找找苏州的自然风光景点,passed,passed,,
南京好吃的美食有哪些？,帮我查一下成都的特色美食有哪些,passed,passed,,
南京古城墙的历史有多久？,请帮我查一下西安大雁塔的历史时长,passed,passed,,
小朋友坐车上哪个位置安全性最高？,请告诉我小朋友乘车时哪个位置安全性最高,passed,passed,,
我梦想着有一天能开着自己的车环球自驾游,我希望能开着车来一场环球的自驾之旅,passed,passed,,
我上次开车撞到停车场闸机栏杆了，那叫一个狼狈,上次我开车过商场停车场的时候，不小心撞到闸机栏杆了，特别尴尬,passed,passed,,
我觉得开车就应该开手动挡，自动挡开着没劲，你觉得呢,麻烦和我交流下驾驶挡位的偏好呗，我觉得开手动挡才有驾驶乐趣,passed,passed,,
最近新能源车起火的新闻，你咋看,麻烦说说你对最近电子产品爆炸新闻的看法,passed,passed,,
现在路上新能源车越来越多了，对吧,咱们聊聊当下新能源车的情况吧,passed,passed,,
你觉得汽车广告里的哪些流行元素比较能勾起人们的买车欲望,请告诉我手机广告里的哪些流行元素比较能勾起人们的购买欲望,passed,passed,,
新出的AR智能眼镜好用不,麻烦告诉我新上市的AR眼镜使用效果如何,passed,passed,,
听说以后能在网上直接买车了，靠谱吗,请告诉我网上买车靠不靠谱,passed,passed,,
今年高考政策有变化吗,麻烦告诉我今年高考政策有没有变化,passed,passed,,
怎么让小朋友轻松愉快的学习？,帮我找找让孩子高效学习的方法,passed,passed,,
在线学英语的网站有哪些？,麻烦搜一下在线学英语的论坛,passed,passed,,
今年的LPR有啥调整吗,麻烦告诉我今年的房贷利率有调整吗,passed,passed,,
买虚拟货币投资靠谱吗,帮我评估下虚拟货币投资可不可行,passed,passed,,
5.4青年节的由来？,帮我查询一下端午节的由来,passed,passed,,
最近新能源二手车市场行情咋样,麻烦查一下最近传统燃油二手车市场行情,passed,passed,,
我这个车过个100年算不算文化遗产,麻烦问一下，我这辆车过个50年能不能算文化遗产,passed,passed,,
法拉利458算艺术品吗,兰博基尼Huracán算艺术品吗,passed,passed,,
汽车工业史上有哪些传奇人物,帮我查一下汽车领域有哪些传奇人物,passed,passed,,
佛教的起源？,帮我查询一下基督教的起源信息,passed,passed,,
有没有汽车主题的文化活动可以参加,帮我找找汽车相关的文化展览活动,passed,passed,,
哪些艺术家擅长汽车主题,帮我查找一下擅长汽车主题的设计师,passed,passed,,
人工智能怎么应用？,请告诉我人工智能的应用方式,passed,passed,,
心理学的发展阶段？,帮我了解一下物理学的发展阶段,passed,passed,,
朱元璋是谁啊？,帮我查一下李白的信息,passed,passed,,
骑电动车撞到人跑了算肇事逃逸吗,帮我问问开车撞了路边的自行车跑了算肇事逃逸吗,passed,passed,,
2024年中非合作论坛峰会内容是？,帮我查一下2024年东盟峰会的内容,passed,passed,,
国家对于新能源汽车的补贴政策还有嘛？,帮我查下地方对于新能源汽车的补贴政策还有不？,passed,passed,,
求解方程x²-5x+6=0,请帮我求解方程2x² - 7x + 3 = 0,passed,passed,,
13.45和13.7哪个大,请比较一下25.6和25.9哪个大,passed,passed,,
圆周率π的近似值是多少？,请告诉我自然常数e的近似值是多少,passed,passed,,
如果一个数字乘以5然后加上6，结果是34，那么这个数字是什么？,帮我算一下，一个数字先乘以7然后加上8，结果是50，这个数字是多少,passed,passed,,
我能陪你一辈子吗？和你能陪我一辈子吗？ 这两个句子是否表达了相同的意思？,请帮我查一下‘我会一直等你’和‘你会一直等我’这两个句子表意是否相同,passed,passed,,
"右前方是什么山（依赖定位参数）
帮我详细介绍下",请帮我查询一下右前方那座山的信息,passed,passed,,
"前面是什么景区（依赖定位参数）
最适合什么季节去玩",帮我查下前面的博物馆信息，还有适合去游玩的季节,passed,passed,,
请将"学而时习之，不亦说乎？"翻译成现代汉语。,麻烦把'三人行，必有我师焉'翻译成现代汉语,passed,passed,,
旁边的粤菜馆咋样（依赖定位参数）,帮我了解下附近川菜馆的情况,passed,passed,,
查一下过年几天的天气,麻烦查一下春节期间的天气,passed,passed,,
旁边是什么公园（依赖定位参数）,麻烦查一下周边的公园有哪些,passed,passed,,
前方是什么超市（依赖定位参数）,帮我查一下前方便利店的信息,passed,passed,,
立春时会下雨吗,麻烦告诉我立冬时的天气怎样,passed,passed,,
未来一周有太阳吗,帮我查询一下未来三天会不会下雨,passed,passed,,
芜湖未来两三天的空气质量,麻烦查一下芜湖未来两三天的空气质量,passed,passed,,
后天南京可要带伞,提醒一下，后天去苏州要带伞,passed,passed,,
后天南京可要带伞,麻烦提醒我后天去杭州带伞,passed,passed,,
